target,n,T,alpha,kernel,gap,ess_per_step,ess_per_step_se,ess_per_sec,accept_rate,split_rhat,gated_out,D3_width
sk,6,0.1,0.05,walk_g0.03,5.621381138354309e-10,0.005319608840936215,0.0005543152013714309,713.4766017967838,0.9829840000000001,1.0276652460880595,False,4.290212800527455
sk,6,0.1,0.05,walk_g0.1,2.142108712632762e-10,0.002492869679635073,0.00025084307169705476,324.69243025205776,0.984564,1.0308362950062198,False,4.290212800527455
sk,6,0.1,0.05,walk_g0.3,4.835343236919698e-11,0.002206705790724176,0.00032881452166069774,277.81707131831445,0.98884,1.0502559459420708,True,4.290212800527455
sk,6,0.1,0.05,walk_g1,1.0308198739039653e-11,0.0012172685355757225,0.00027757716652392143,136.79010759549652,0.9952799999999999,1.0215113088246088,False,4.290212800527455
sk,6,0.1,0.05,walk_g3,3.143263427318743e-12,0.0002711618504645121,7.360802919203992e-05,39.99681917332221,0.9984120000000001,1.0955704987910562,True,4.290212800527455
sk,6,0.1,0.05,walk_g10,9.14601727686204e-13,0.00012300159810443406,1.588055881708924e-05,17.909239437845446,0.99946,1.2008656346473119,True,4.290212800527455
sk,6,0.1,0.15,single_flip,nan,0.11951769557100678,0.006021152309511516,18754.75124448697,0.036416,1.0318759484899847,False,4.198534564043406
sk,6,0.1,0.15,uniform,nan,0.050095401250947136,0.0022423630418349637,7897.837164547552,0.041984,1.0005772718818084,False,4.198534564043406
sk,6,0.1,0.15,walk_g0,8.357746731690874e-06,0.03293822558300909,0.007658669959564038,4320.636722874266,0.836572,1.0244842366477553,False,4.198534564043406
sk,6,0.1,0.15,walk_g0.03,4.130205117580665e-06,0.03581479303740723,0.002286472402108411,4815.197092727196,0.8421559999999999,1.0002530131244387,False,4.198534564043406
sk,6,0.1,0.15,walk_g0.1,1.1592317586961443e-06,0.02211442530793217,0.0012018323421761287,3029.490527508392,0.857432,1.0316046370370089,False,4.198534564043406
sk,6,0.1,0.15,walk_g0.3,1.1344189521089731e-07,0.01136200237902178,0.0004654738128496556,1585.5450599712763,0.898396,1.0211834245141098,False,4.198534564043406
sk,6,0.1,0.15,walk_g1,2.5694051331015544e-09,0.004508381148923756,0.0004862810000313833,592.7002552358415,0.9553040000000002,1.0274262141423574,False,4.198534564043406
sk,6,0.1,0.15,walk_g3,8.332212697581554e-11,0.002817845285069711,0.0003602241789253338,371.14285598412937,0.983484,1.036462654217983,False,4.198534564043406
sk,6,0.1,0.15,walk_g10,1.0510481374126357e-11,0.0010493078958596978,0.0001967146084253473,142.67025848400547,0.9950319999999999,1.0176779813501153,False,4.198534564043406
sk,6,0.1,0.3,single_flip,nan,0.11951769557100678,0.006021152309511516,16596.598427686542,0.036416,1.0318759484899847,False,4.660421058182436
sk,6,0.1,0.3,uniform,nan,0.050095401250947136,0.0022423630418349637,7913.777912515322,0.041984,1.0005772718818084,False,4.660421058182436
sk,6,0.1,0.3,walk_g0,0.0026152999505019148,0.027275767529984164,0.0014827967800120252,3877.6116139626392,0.5104960000000001,1.0011576294979665,False,4.660421058182436
sk,6,0.1,0.3,walk_g0.03,0.000992734405215523,0.012807680745478977,0.0012502909009352756,1672.376821717325,0.534924,1.0017704755455044,False,4.660421058182436
sk,6,0.1,0.3,walk_g0.1,0.00019065723206923568,0.008243708856130606,0.0010378713234141872,1217.8808441763133,0.585204,1.0101076457871945,False,4.660421058182436
sk,6,0.1,0.3,walk_g0.3,1.31583659622736e-05,0.026897552553673265,0.004114168412307474,3911.7218792635094,0.701464,1.032476335073282,False,4.660421058182436
sk,6,0.1,0.3,walk_g1,2.4828212319416565e-07,0.01296215301426622,0.0012660158718780213,1791.6448905746133,0.86198,1.0347467481230839,False,4.660421058182436
sk,6,0.1,0.3,walk_g3,4.217420745966649e-09,0.0062822860446341885,0.0005190798895071264,829.6222616535233,0.9480359999999999,1.0336166335424124,False,4.660421058182436
sk,6,0.1,0.3,walk_g10,8.090650371883612e-11,0.0023418563886422384,0.0003050497433982677,345.49175479173573,0.983644,1.0428234244619023,False,4.660421058182436
sk,6,0.1,0.5,single_flip,nan,0.11951769557100678,0.006021152309511516,19926.573257992168,0.036416,1.0318759484899847,False,6.3153383003865065
sk,6,0.1,0.5,uniform,nan,0.050095401250947136,0.0022423630418349637,7765.712307043922,0.041984,1.0005772718818084,False,6.3153383003865065
sk,6,0.1,0.5,walk_g0,0.028923726072921818,0.0617964454909502,0.002186490369980504,9054.204477794896,0.340012,1.0003064223648446,False,6.3153383003865065
sk,6,0.1,0.5,walk_g0.03,0.00990755546111921,0.04209603793110306,0.002855634893027218,5922.7973388718265,0.35539600000000005,1.000555047753934,False,6.3153383003865065
sk,6,0.1,0.5,walk_g0.1,0.001531101494959608,0.02088358834565166,0.002299088591329843,3082.426617297761,0.418016,1.0009640969545173,False,6.3153383003865065
sk,6,0.1,0.5,walk_g0.3,7.72179412292795e-05,0.023078328522872817,0.006493021111583497,3387.7493731013537,0.577256,1.0199065718804954,False,6.3153383003865065
